Gene	CCL_A	CCL_B	CCL_C
CYP4F30P	0.4072	0	1.8281
CYP4F31P	0.3587	0	1.1445
CYP4F32P	0	0	0
CYP4F34P	0	0	0
CYP4F35P	0.1274	0	0.0748
CYP4F36P	0	0	0
CYP4F43P	2.3311	0	0
CYP4F44P	0	0	0
CYP4F59P	0	0	0
CYP4F60P	0	0	0
CYP4F61P	0	0	0
CYP4F8	0	0	0
CYP4V2	4.5312	1.4024	3.2745
CYP4X1	0	0.256	0.0189
CYP4Z1	0	0	0
CYP4Z2P	0	0	0
CYP51A1	7.3585	6.3197	4.8607
CYP51P1	0	0	0
CYP51P2	0.0386	0.0272	0.0592
CYP51P3	0	0	0
CYP7A1	0	0	0
CYP7B1	0	0	0.1521
CYP8B1	0	0	0
CYR61	4.2323	5.6012	5.2145
CYS1	0	1.5782	0.0476
CYSLTR1	0.3433	0.2111	0.5382
CYSLTR2	0	0	0
CYSTM1	6.4066	4.267	4.6905
CYTH1	5.2063	4.3183	4.1356
CYTH2	5.7418	5.029	5.6493
CYTH3	3.4534	5.2102	3.9494
CYTH4	0.3292	1.0112	0.1277
CYTIP	0.4177	0	0
CYTL1	0	0	1.5471
CYYR1	0	0.4993	0
D2HGDH	3.8398	4.1441	3.8828
D86994.1	0	0	0
D86994.2	0	0	0
D86998.1	0	0	0
D87007.1	0	0	0
D87015.1	0	0	0
D87024.1	0	0	0
DAAM1	4.0092	4.9016	1.9571
DAAM2	0	0.5611	4.2989
DAB1	0	0.03	0.0083
DAB2	1.1264	2.1424	3.7271
DAB2IP	4.3392	5.2216	4.0733
DACH1	0	0	0
DACH2	0	0	0
DACT1	0	0.8883	0.7115
DACT2	0	0.183	0
DACT3	0	0.2013	0.2299
DACT3-AS1	0	0	0
DAD1	7.9943	7.5387	7.5618
DAG1	6.2123	5.4654	6.9947
DAGLA	2.1289	0.4952	1.9561
DAGLB	4.1972	4.5113	4.293
DAK	6.3571	5.1842	6.129
DALRD3	4.9877	4.0676	4.6333
DANCR	6.9774	6.2999	7.1174
DAND5	0	0	0
DAO	0	0	0
DAOA	0	0	0
DAOA-AS1	0	0	0
DAP	7.0838	6.6063	7.0705
DAP3	7.4576	6.4733	7.5792
DAP3P1	0	0	0
DAP3P2	0	0	0
DAPK1	3.2958	4.4237	1.0255
DAPK1-IT1	0	0	0
DAPK2	0	0.422	0.3466
DAPK3	5.0141	5.2736	5.6196
DAPL1	0	1.4981	0
DAPP1	4.2295	2.5391	0.0303
DARC	0	0	0
DARS	6.3819	6.7191	6.5173
DARS2	6.4523	4.4461	6.1367
DAW1	0	0	0
DAXX	5.5609	5.8554	6.0997
DAZ1	1.9918	0	0
DAZ2	1.6534	0	0
DAZ3	0.1006	0	0
DAZ4	0.1543	0	0
DAZAP1	7.1342	7.0742	6.9189
DAZAP2	8.0773	8.0143	7.204
DAZAP2P1	0	0	0
DAZL	0	0	0
DBF4	5.0796	5.6693	5.4742
DBF4B	3.5686	4.42	4.3621
DBF4P1	0.0929	0.3762	0.1875
DBH	0	0	0
DBH-AS1	0	0	0
DBI	7.875	8.7268	7.8838
DBIL5P	0.4822	0.6452	1.0621
DBIL5P2	0	0	0
DBIP1	0	0	0
DBIP2	0	0	0
DBN1	4.9691	4.9427	6.5869
DBNDD1	3.2843	1.8283	4.3082
DBNDD2	4.4007	3.8552	2.5754
DBNL	5.3324	6.9087	6.9689
DBP	2.7923	3.395	1.947
DBR1	4.6147	3.379	4.8576
DBT	4.4828	3.8846	3.5004
DBX1	0	0	0
DBX2	0	0	0
DCAF10	4.2467	3.3594	3.5101
DCAF11	6.3804	4.9427	4.8166
DCAF12	5.7022	4.815	5.2785
DCAF12L1	0	0	0
DCAF12L2	0	0	0
DCAF13	7.5478	7.2261	7.4668
DCAF13P1	0	0	0
DCAF13P2	0	0	0
DCAF13P3	0.1181	0	0
DCAF15	4.0885	4.8058	5.2662
DCAF16	5.0507	3.7365	5.9331
DCAF17	4.6613	2.8294	2.0545
DCAF4	4.1806	6.5422	3.5817
DCAF4L1	0.4334	0.0318	1.0782
DCAF4L2	0	0	0.0393
DCAF5	4.7616	5.1406	3.8464
DCAF6	5.9168	5.3828	5.3572
DCAF7	5.9627	6.0843	6.4741
DCAF8	7.2085	5.4702	6.1808
DCAF8	0.5645	1.7002	1.8975
DCAF8L1	0	0	0
DCAF8L2	0	0	0.2631
DCAKD	4.6233	4.5705	3.9335
DCBLD1	3.4302	4.0442	2.8704
DCBLD2	6.4171	3.3106	7.3997
DCC	0	0	0
DCD	0	0	0
DCDC1	0	0.8349	0
DCDC2	0.0582	0	0.0279
DCDC2B	0	0	0.0324
DCDC2C	0	0	0
DCHS1	0.2148	0	0.9945
DCHS2	0	0	0.2519
DCK	5.6158	3.8783	4.4338
DCLK1	0.587	0	0.0179
DCLK2	0	0.3077	0.647
DCLK3	0	0	0
DCLRE1A	4.3742	3.3374	3.5747
DCLRE1B	2.1815	3.4385	3.5611
DCLRE1C	4.0498	2.7515	2.4898
DCLRE1CP1	0.112	0.0792	0
DCN	0	0	0.1568
DCP1A	4.6231	2.7264	4.3673
DCP1B	2.0605	0.0559	3.2391
DCP2	4.373	3.2928	3.3255
DCPS	5.4995	3.3479	6.2097
DCST1	0.1685	0.452	0.1157
DCST2	1.5422	1.5327	0
DCSTAMP	0	0	0.9275
DCT	0.3251	0.0563	0.2422
DCTD	6.6755	5.7193	6.7894
DCTN1	5.9018	6.696	6.5662
DCTN1-AS1	0	0	0
DCTN2	6.672	6.918	6.906
DCTN3	5.147	6.8482	6.6237
DCTN4	5.6037	4.9847	5.082
DCTN5	5.6367	6.2149	6.1478
DCTN6	6.1456	4.7394	5.5154
DCTPP1	5.9001	6.6197	6.1275
DCUN1D1	5.4679	4.5919	4.5373
DCUN1D2	4.9544	3.7092	4.5896
DCUN1D2-AS	0.6733	0	0.1279
DCUN1D3	2.9857	2.2715	2.5941
DCUN1D4	5.1638	4.324	5.1419
DCUN1D5	5.9986	5.623	7.0236
DCX	0	0	0
DCXR	5.6711	6.3841	5.7009
DDA1	6.1008	6.2098	7.7901
DDAH1	7.548	2.8586	2.5905
DDAH2	5.181	4.5545	3.8943
DDB1	6.7807	7.0879	7.3719
DDB2	6.2334	5.4454	6.0256
DDC	3.8952	0.0693	0
DDC8	0	0	0
DDHD1	3.4158	2.892	2.3443
DDHD2	5.5859	4.5557	5.0297
DDI1	0	0	0
DDI2	4.8366	3.2346	3.8107
DDIT3	6.6551	3.6635	4.4455
DDIT4	10.0153	7.9688	8.0256
DDIT4L	0	0.0146	0.0335
DDN	0	1.2888	1.0995
DDO	0	0	2.0324
DDOST	8.6682	7.8756	8.7164
DDR1	7.3366	8.5513	5.3875
DDR1-AS1	0	0.0928	0
DDR2	0.6295	0.0806	4.9167
DDRGK1	5.8905	6.2248	5.8369
DDT	6.3996	6.6806	7.0461
DDTL	1.302	1.8994	1.7857
DDTP1	0	0	0
DDX1	6.9664	6.6784	7.5946
DDX10	3.6955	3.6447	4.3424
DDX10P1	0	0	0.0227
DDX10P2	0	0	0
DDX11	5.3917	3.6054	5.7993
DDX11-AS1	0.0529	0	0.4769
DDX11L1	0.0049	0	0
DDX11L10	0.0366	0.0315	0.0875
DDX11L16	0	0	0.0344
DDX11L2	1.4029	0.1959	0.8019
DDX11L5	0	0	0
DDX11L8	0	0	0
DDX11L9	0.1799	0.0881	0.1667
DDX12P	2.8618	2.7643	3.6792
DDX17	7.622	7.2735	6.9106
DDX18	6.8941	6.0435	6.959
DDX18P1	0	0	0.022
DDX18P5	0	0	0
DDX18P6	0	0	0
DDX19A	5.3156	5.4027	6.7572
DDX19B	5.0798	5.2723	5.4373
DDX20	2.9167	3.4242	4.4417
DDX21	7.9249	6.0546	7.4657
DDX23	6.0732	6.2167	6.7094
DDX24	6.0452	6.5666	6.4896
DDX25	0	0	0
DDX26B	2.7588	2.4626	1.4088
DDX26B-AS1	0	0	0
DDX27	6.0456	6.4042	7.0088
DDX28	3.669	3.3061	3.8931
DDX31	4.3261	3.9015	5.1277
DDX39A	6.1481	7.2716	7.9286
DDX39AP1	0	0	0
DDX39B	8.6424	8.1973	7.415
DDX39B-AS1	0.1158	0	0
DDX39BP1	0	0	0
DDX39BP2	0	0	0
DDX3X	7.074	6.6998	7.9754
DDX3Y	5.7016	0.0418	0.0392
DDX3YP1	0	0.0195	0
DDX3YP2	0	0	0
DDX3YP3	0	0	0
DDX4	0	0	0
DDX41	5.7102	6.2793	5.8843
DDX42	6.4539	6.4037	6.5098
DDX43	0	2.2716	0
DDX46	5.8657	5.86	7.2401
DDX47	6.7239	5.6359	7.2482
DDX49	5.5332	5.5474	6.7725
DDX5	8.5738	8.2763	8.8659
DDX50	5.6264	4.6833	5.3832
DDX50P1	0	0	0.2544
DDX50P2	0	0	0
DDX51	4.3718	3.9167	4.336
DDX52	5.1088	4.3839	5.107
DDX53	0.2595	0	0
DDX54	5.6069	4.7219	5.9959
DDX55	5.3103	4.5046	5.8115
DDX56	6.3095	6.6995	6.8833
DDX58	3.1046	4.232	1.1479
DDX59	4.4675	2.8488	4.6545
DDX6	6.0385	4.7899	5.7463
DDX60	1.9402	3.1821	1.1603
DDX60L	1.6777	1.7033	2.0999
DDX6P1	0	0	0
DDX6P2	0	0	0
DEAF1	4.576	2.9596	3.5691
DEC1	0.1694	0.0143	0
DECR1	8.2844	5.5688	5.1347
DECR2	4.7599	3.9105	3.8385
DEDD	6.1174	4.2891	5.692
DEDD2	3.9738	4.7566	4.6583
DEF6	0.1817	4.191	0.4013
DEF8	4.8165	4.5097	6.5469
DEFA1	0	0	0
DEFA10P	0	0	0
DEFA11P	0	0	0
DEFA1B	0	0	0
DEFA3	0	0	0
DEFA4	0	0	0
DEFA5	0	0	0
DEFA6	0	0	0
DEFA7P	0	0	0
DEFA8P	0	0	0
DEFA9P	0	0	0
DEFB1	0	0.1518	0
DEFB103A	0	0.1407	0
DEFB103B	0	0	0
DEFB104A	0	0	0
DEFB104B	0	0	0
DEFB105A	0	0	0
DEFB105B	0	0	0
DEFB106A	0	0	0
DEFB106B	0	0	0
DEFB107A	0	0	0
DEFB107B	0	0	0
DEFB108B	0	0	0
DEFB108P1	0	0	0
DEFB108P2	0	0	0
DEFB108P3	0	0	0
DEFB108P4	0	0	0
DEFB109	0	0	0
DEFB109P1	0	0	0
DEFB109P1B	0	0	0
DEFB109P3	0	0	0
DEFB110	0	0	0
DEFB112	0	0	0
DEFB113	0	0	0
DEFB114	0	0	0
DEFB115	0	0	0
DEFB116	0	0	0
DEFB117	0	0	0
DEFB118	0	0	0
DEFB119	0	0	0
DEFB121	0	0	0
DEFB122	0	0	0
DEFB123	0	0	0
DEFB124	0	0	0.4596
DEFB125	0	0	0.0733
DEFB126	0	0.2265	0
DEFB127	0	0	0
DEFB128	0	0	0
DEFB129	0	0	0
DEFB130	0	0	0
DEFB130	0	0	0
DEFB131	0	0	0
DEFB132	0	0	0
DEFB133	0	0	0
DEFB134	0	0	0
DEFB135	0	0	0
DEFB136	0	0	0
DEFB4A	0	0.1885	0
DEFB4B	0	0	0
DEFT1P	0	0	0
DEFT1P2	0	0	0
DEGS1	3.1088	4.713	6.2852
DEGS2	4.3082	0.0399	0
DEK	7.237	7.1136	6.7775
DENND1A	5.7664	3.7602	3.7377
DENND1B	0.7185	1.4648	1.8416
DENND1C	6.3902	3.373	0
DENND2A	0	0.0965	0.4625
DENND2C	0.4366	2.6022	0
DENND2D	5.0588	3.0441	0
DENND3	4.5313	4.167	2.6429
DENND4A	3.1862	1.9996	3.6251
DENND4B	5.0869	4.0831	5.6896
DENND4C	4.0164	2.8264	3.9738
DENND5A	0.2231	4.5642	4.7591
DENND5B	4.8577	0.8857	3.1717
DENND5B-AS1	1.9598	0.1096	0
DENND6A	4.3548	2.9843	3.7325
DENND6B	2.5669	2.0951	0.5668
DENR	6.7514	5.8254	6.7702
DEPDC1	5.0818	5.1105	4.7259
DEPDC1B	5.6972	5.1949	5.3151
DEPDC4	0.8582	0.5371	1.0268
DEPDC5	3.4777	3.4368	2.7795
DEPDC7	0.7586	5.8387	5.3087
DEPTOR	5.712	1.5922	2.4615
DERA	5.6218	5.4281	5.2428
DERL1	6.9036	5.6292	5.4175
DERL2	5.9677	5.7429	6.4431
DERL3	0.8165	0.1114	0.0419
DES	0	0	0
DESI1	5.8973	4.6489	4.7683
DESI2	6.3974	4.1985	5.2335
DET1	1.7099	0.6793	2.8046
DEXI	3.9926	4.5695	3.544
DFFA	4.7728	5.1517	5.8741
DFFB	3.3288	0.8129	2.3656
DFNA5	0	4.1892	3.902
DFNB31	2.1999	3.5669	2.9131
DFNB59	1.2995	0.749	0.4983
DGAT1	7.8608	5.0024	4.4744
DGAT2	4.1145	1.625	1.9905
DGAT2L6	0	0	0
DGAT2L7P	0	0	0
DGCR10	0	1.013	0
DGCR11	1.008	1.0217	0.0393
DGCR14	3.5285	4.1589	3.4807
DGCR2	5.4651	5.6809	3.6946
DGCR5	2.0781	2.2951	0.008
DGCR6	3.3167	4.944	1.4142
DGCR6L	4.1797	5.9447	5.0194
DGCR8	4.4292	4.9037	4.3771
DGCR9	0.7847	2.4516	0
DGKA	1.7747	5.6035	4.4553
DGKB	0.0575	0	0
DGKD	6.359	3.7122	4.1905
DGKE	3.3874	2.2378	0.0828
DGKG	0	0.1173	3.137
DGKH	2.6795	2.9296	1.9065
DGKI	0	0	0.5724
DGKK	0	0	0
DGKQ	4.3813	2.8572	3.367
DGKZ	5.1246	5.0347	5.1578
DGKZP1	0.0331	1.1488	0
DGUOK	6.8028	6.1553	6.7464
DGUOK-AS1	1.3465	3.9922	2.0693
DHCR24	6.8918	7.4468	7.1968
DHCR7	6.4962	5.367	5.5121
DHDDS	5.3031	4.2505	4.4705
DHDH	0.6446	1.7855	0
DHFR	6.3233	6.2335	6.0011
DHFRL1	2.5089	1.6416	3.1757
DHFRP1	0.1879	3.3362	5.4681
DHFRP2	0	0	0
DHH	0	0	0.3789
DHODH	3.3777	2.4838	4.0365
DHPS	6.0846	5.6976	6.981
DHRS1	3.9716	4.61	3.949
DHRS11	2.7378	2.6787	4.6869
DHRS12	2.2847	1.4043	1.3683
DHRS13	3.7701	2.5208	3.6826
DHRS2	6.5958	3.1259	3.3367
DHRS3	6.4726	4.6806	6.1775
DHRS4	5.5075	5.1532	3.9886
DHRS4-AS1	4.6225	2.9252	3.1796
DHRS4-AS1	2.4862	1.1897	1.0984
DHRS4L2	5.289	4.4578	3.7481
DHRS7	5.4904	6.844	4.6638
DHRS7B	4.1221	4.611	4.2533
DHRS7C	0	0	0
DHRS9	1.7285	1.1007	0
DHRSX	3.5303	2.9447	2.9167
DHRSX-IT1	0.0817	0	0
DHTKD1	4.9515	4.2229	4.4414
DHX15	7.8256	6.5759	7.8656
DHX16	5.3457	5.9686	5.9898
DHX29	4.5831	4.5866	4.5964
DHX30	5.3989	4.9221	6.5836
DHX32	4.8406	4.6429	4.5124
DHX33	4.3782	4.3415	5.0764
DHX34	3.6122	3.5105	4.1714
DHX35	4.3911	3.9329	4.2227
DHX36	5.6384	5.6979	6.0855
DHX37	3.681	3.6301	4.7927
DHX38	4.8412	5.2488	6.054
DHX40	4.7955	5.0885	5.7782
DHX40P1	0.7987	0	0
DHX57	3.9324	3.7062	4.3019
DHX58	3.5933	2.1382	2.29
DHX8	4.8442	5.1137	6.2467
DHX9	7.0199	6.7428	8.086
DHX9P1	0	0	0
DIABLO	6.2102	5.9479	6.635
DIAPH1	6.8529	6.0564	6.5272
DIAPH2	3.6511	0	2.9627
DIAPH2-AS1	0	0	0.2249
DIAPH3	3.3035	3.2923	3.0428
DIAPH3-AS1	0	0	0
DIAPH3-AS2	0	0	0
DICER1	5.1024	4.4763	3.7158
DICER1-AS1	3.1181	1.0823	1.2969
DIDO1	5.3251	4.97	5.2859
DIEXF	3.3698	2.2542	3.882
DIMT1	5.6491	4.7048	6.0949
DIO1	0	0	0
DIO2	0.2838	4.3202	0.226
DIO2-AS1	0	0	0
DIO3	0	0.7818	0
DIO3OS	0	1.3449	0
DIP2A	5.235	3.6901	3.5734
DIP2A-IT1	0	0	0
DIP2B	4.0677	4.7825	4.7792
DIP2C	4.0182	2.1619	2.474
DIRAS1	0.5622	0.5353	2.7202
DIRAS2	0	0	0
DIRAS3	0	0	0
DIRC1	0	0	0
DIRC2	4.4967	3.6513	2.9594
DIRC3	0	0	0
DIS3	4.7195	4.7836	5.6201
DIS3L	5.333	3.8049	4.4009
DIS3L2	4.2233	3.4029	3.9356
DIS3L2P1	0	0	0
DISC1	0.1059	0.0277	1.2119
DISC1-IT1	0	0	0
DISC1FP1	0	0	0
DISP1	2.1569	0.4922	1.6387
DISP2	0.174	2.4982	1.1082
DIXDC1	1.0258	0.7282	3.7298
DKC1	6.9047	6.8365	7.6356
DKFZP434A062	0	0	0
DKFZP434E1119	0	0.1016	0
DKFZP434H0512	0	0	0
DKFZP434O1614	0	0	0
DKFZP547L112	0	0	0
DKFZP667F0711	0	0.031	0.2481
DKFZP761J1410	2.9833	3.6073	4.8695
DKFZP779J2370	0.2546	0	0
DKFZP779L1853	0	0	0.2749
DKK1	0	7.7537	6.5506
DKK2	0	0	0.1928
DKK3	0.1572	5.7299	3.1994
DKK4	0	0	0.141
DKKL1	0	0.1486	0
DKKL1P1	0	0	0
DLAT	5.8649	4.7404	5.2775
DLC1	0.18	0.894	3.5318
DLD	8.4507	7.043	7.4812
DLEC1	0.5564	0.191	0.2401
DLEC1P1	0	0	0
DLEU1	4.2338	4.4743	4.8704
DLEU2	3.2032	4.3747	5.3589
DLEU2L	0	0	0
DLEU7	0.8035	0.7311	0.6093
DLEU7-AS1	0	0	0
DLG1	5.6326	5.695	4.158
DLG1-AS1	0	0.7704	0.1948
DLG2	0	0.3662	0.6013
DLG3	6.487	5.3494	3.7539
DLG3-AS1	0.5659	0	0
DLG4	0.2661	1.8608	4.2489
DLG5	4.6642	5.276	4.4552
DLG5-AS1	0	0.1492	0.3235
DLGAP1	0	0.0789	0.8556
DLGAP1-AS1	2.1666	1.8536	3.3002
DLGAP1-AS2	3.6683	2.2416	3.7862
DLGAP1-AS3	0	0	0
DLGAP1-AS4	0	0	0
DLGAP1-AS5	0	0	0
DLGAP2	0	0	0
DLGAP3	0	0	0
DLGAP4	5.7019	5.1469	5.7741
DLGAP5	5.6376	7.106	5.5363
DLGAP5P1	0	0	0
DLK1	0	0	0.2822
DLK2	0.8485	4.8065	1.8106
DLL1	0.0999	4.6796	0.1454
DLL3	0	0.6804	1.4184
DLL4	0	0	0
DLST	7.0675	7.4262	6.375
DLX1	0	3.9733	4.9367
DLX2	0	3.0237	3.0398
DLX3	0	4.1296	0
DLX4	0	3.1446	0.3222
DLX5	0	2.8105	0
DLX6	0	2.5261	0.355
DLX6-AS1	0	2.6268	0
DLX6-AS2	0	0	0
DMAP1	4.5873	4.4202	4.7861
DMBT1	0.7125	0.0204	0.2916
DMBX1	1.5212	2.2102	0
DMC1	0.1803	3.3677	0.8513
DMD	0.0078	0	0.7283
DMD-AS3	0	0	0
DMGDH	2.4073	0	0
DMKN	0.0828	6.7377	1.4773
DMP1	0	0.0429	0
DMPK	3.2437	4.6352	4.2056
DMRT1	0	0.3719	0
DMRT2	0	2.9277	3.4073
DMRT3	0	1.1234	0
DMRTA1	0	0.9654	1.9518
DMRTA2	0.7265	2.7004	0
DMRTB1	0	0	0
DMRTC1	0	0	0
DMRTC1B	0	0	0
DMRTC2	0	0	0
DMTF1	5.7182	5.6437	5.2966
DMTN	3.6616	3.6767	0.3376
DMWD	3.4718	3.8867	4.5644
DMXL1	3.6945	3.2799	2.4586
DMXL2	5.3023	3.0537	3.5216
DNA2	3.7795	2.445	3.725
DNAAF1	0.0116	0.0162	0.504
DNAAF2	3.6049	3.3899	3.7111
DNAAF3	4.1479	3.4946	1.4768
DNAH1	2.5449	0.712	1.6101
DNAH10	0.6468	0.1824	0.1859
DNAH10OS	0.1486	0.0449	0.3068
DNAH11	0.008	1.3035	0.0462
DNAH12	0.0171	0	0.0046
DNAH14	4.0027	3.0179	4.4158
DNAH17	0.7382	0.4706	0.5626
DNAH17-AS1	0.0811	0	0
DNAH2	0.4777	2.4169	2.4981
DNAH3	0.0648	1.5932	0.1763
DNAH5	0.2869	0.9936	0.1987
DNAH6	0.2139	0.0325	0.322
DNAH7	0.9853	0.0062	0.1307
DNAH8	0	0	0
DNAH9	0	0	4.1131
DNAI1	0	0.312	0.0652
DNAI2	0	0	0
DNAJA1	7.0679	8.4627	8.264
DNAJA1P1	0	0	0
DNAJA1P2	0	0	0
DNAJA1P3	0	0	0
DNAJA1P4	0	0	0
DNAJA1P5	0	0	0
DNAJA1P6	0	0	0
DNAJA2	6.2718	5.5996	6.3816
DNAJA3	6.6047	6.6027	6.3443
DNAJA4	6.1697	4.9991	0.3562
DNAJB1	6.488	7.1794	7.1147
DNAJB11	7.0495	7.3775	6.2132
DNAJB12	4.3204	3.9609	4.27
DNAJB13	0	0.0214	0
DNAJB14	5.225	3.6725	4.3622
DNAJB1P1	0	0	0
DNAJB2	5.3438	4.8169	4.2308
DNAJB3	0	0.1974	0
DNAJB4	5.4496	4.283	2.8838
DNAJB5	1.3113	3.5011	2.1174
DNAJB6	6.9205	6.5264	8.2474
DNAJB7	0.231	0.2144	0.1734
DNAJB8	0	0	0
DNAJB8-AS1	0	0	0
DNAJB9	5.2256	3.0435	3.1842
DNAJC1	5.3019	4.2713	3.6787
DNAJC10	7.6562	5.3816	4.6086
DNAJC11	5.7772	5.3158	6.6316
DNAJC12	3.295	0	3.0084
DNAJC13	5.2898	3.7467	4.4299
DNAJC14	4.6319	4.7308	5.7486
DNAJC15	2.1006	3.5846	4.1694
DNAJC16	4.6326	2.1843	3.0133
DNAJC17	4.0031	3.7847	4.4995
DNAJC18	0.6255	1.2651	2.822
DNAJC19	5.5377	5.947	4.814
DNAJC19P1	0	0	0
DNAJC19P2	0	0	0
DNAJC19P3	0	0	0
DNAJC19P4	0	0	0
DNAJC19P5	2.4121	0	0
DNAJC19P6	0	0	0
DNAJC19P7	0	0	0
DNAJC19P8	0	0	0
DNAJC19P9	0	0	0
DNAJC2	5.2314	5.9324	5.8713
DNAJC21	5.8811	7.0395	5.5621
DNAJC22	5.6318	1.5183	3.8052
DNAJC24	3.4188	6.0291	4.4224
DNAJC25	4.2127	4.8805	3.9698
DNAJC25-GNG10	3.9122	0.018	0.5217
DNAJC27	2.8506	1.6041	1.6098
DNAJC27-AS1	0.6491	0.0484	0
DNAJC28	0.8356	0.7864	1.202
DNAJC3	5.9077	4.0433	4.6822
DNAJC3-AS1	2.2503	1.7017	1.805
DNAJC30	1.6912	2.695	2.3543
DNAJC4	3.5014	4.7071	3.8262
DNAJC5	6.1805	5.3761	5.6665
DNAJC5B	0	0	0
DNAJC5G	0	0.0376	0
DNAJC6	1.3971	1.7139	3.5474
DNAJC7	6.7634	6.7469	7.1335
DNAJC8	6.7087	6.4638	7.1581
DNAJC8P1	0	0	0
DNAJC9	5.3464	5.2132	4.9691
DNAJC9-AS1	0	0	0
DNAL1	3.3993	3.8262	2.8905
DNAL4	3.7943	3.8973	3.072
DNALI1	1.9598	0	0
DNASE1	3.2665	3.9571	2.9722
DNASE1L1	4.7023	4.1422	4.3022
DNASE1L2	1.1463	1.4059	0.7393
DNASE1L3	0	0	0
DNASE2	6.6513	5.9393	5.3016
DNASE2B	0	0	0
DND1	0.1698	0.058	0.1016
DND1P1	0	0	0.4901
DNER	1.6727	2.8263	0.5893
DNHD1	3.8622	1.805	3.2452
DNLZ	2.5733	3.2007	3.5721
DNM1	3.2845	4.1051	5.6735
DNM1L	6.3132	4.6222	7.0636
DNM1P17	0	0	0
DNM1P24	0	0	0
DNM1P28	0	0	0
DNM1P30	0	0	0
DNM1P31	0	0	0
DNM1P32	0	0	0
DNM1P33	0	0	0
DNM1P34	0	0.0496	0
DNM1P35	0	0.0588	0.1599
DNM1P38	0	0	0
DNM1P42	0	0	0
DNM1P46	0	0.1117	0.4275
DNM1P47	0	0.0505	0.289
DNM1P48	0	0	0
DNM1P49	0	0	0
DNM1P50	0	0	0
DNM1P51	0.0565	0	0.5546
DNM2	7.1299	6.4515	6.9698
DNM3	0.1173	0.1022	2.876
DNM3-IT1	0	0	0
DNM3OS	0	0	0
DNMBP	5.0352	3.8962	4.1734
DNMBP-AS1	0	0	0
DNMT1	5.9064	6.3933	7.481
DNMT3A	2.937	3.1474	2.4423
DNMT3B	1.5634	3.2052	1.9406
DNMT3L	0	0	0
DNPEP	5.7593	5.9461	4.9144
DNPH1	5.5141	4.443	5.9746
DNTT	0	0	0
DNTTIP1	6.166	5.909	5.9204
DNTTIP2	5.6448	5.7072	5.8475
DOC2A	0.2942	3.2093	1.579
DOC2B	0.083	0.2715	0.0341
DOC2GP	0	1.3161	0
DOCK1	4.747	4.3491	4.661
DOCK10	0	0.2105	1.0999
DOCK11	2.9406	2.4657	1.9587
DOCK2	0	0	0.4183
DOCK3	0	0.2483	0.1932
DOCK4	0.3274	1.4833	4.4209
DOCK4-AS1	0	0	0
DOCK5	5.9856	5.2662	4.4994
DOCK6	4.322	2.9014	3.1012
DOCK7	4.3109	3.4845	4.3064
DOCK8	0.2641	1.4052	0.1748
DOCK9	3.8648	4.1561	2.8682
DOCK9-AS1	0	0	0
DOCK9-AS2	0.2486	1.0598	0
DOHH	2.929	3.8046	4.2702
DOK1	1.2177	2.5828	3.9074
DOK2	0	0	0
DOK3	0.883	2.8017	1.8309
DOK4	6.0808	3.6188	4.1501
DOK5	0	0	0.0659
DOK6	0	0	0.1214
DOK7	1.3785	2.6913	0.2533
DOLK	3.748	4.8958	4.5268
DOLPP1	4.7284	4.764	4.6632
DONSON	4.94	4.9957	4.6009
DOPEY1	2.8309	2.5528	2.7479
DOPEY2	4.0312	1.1832	1.0135
DOT1L	4.3288	3.9939	4.0691
DPAGT1	6.4856	4.8387	6.5036
DPCD	3.6684	5.4043	5.978
DPCR1	1.7491	0.0428	0
DPEP1	0.9229	0	0.1802
DPEP2	0	0	0
DPEP3	0	0	0
DPF1	0	1.4814	2.7107
DPF2	6.0894	6.2757	5.3951
DPF3	0.1754	0.1248	0.3449
DPH1	4.765	4.4276	5.1955
DPH2	5.234	4.6845	6.0424
DPH3	4.3331	3.9688	4.3476
DPH3P1	1.0134	1.3652	2.7114
DPH3P2	0	0	0
DPH5	5.6023	5.0454	4.5946
DPH6	3.278	3.0555	5.0607
DPH6-AS1	0	0	0
DPH7	4.9467	4.9593	4.7731
DPM1	6.8559	6.7938	7.7113
DPM2	5.6223	5.8599	6.6424
DPM3	5.573	5.3109	5.8619
DPP10	0	0	0
DPP3	5.007	5.7476	5.5449
DPP4	3.0989	3.3388	0.2295
DPP6	0	0.0741	0
DPP7	5.9782	5.9808	5.7443
DPP8	4.3515	3.5558	4.9522
DPP9	5.1896	5.4478	6.1453
DPPA2	0.2863	0	0.7536
DPPA2P1	0	0	0
DPPA2P2	0	0	0
DPPA2P3	0	0	0
DPPA2P4	0	0	0
DPPA3	0	0	0
DPPA3P1	0	0	0.1474
DPPA3P2	0	0	0
DPPA3P3	0	0	0
DPPA4	0	0	0
DPPA5	0	0	0
DPPA5P1	0	0	0
DPPA5P2	0	0	0
DPRX	0	0	0
DPRXP1	0	0	0
DPRXP2	0	0	0
DPRXP4	0	0	0
DPRXP5	0	0	0
DPRXP6	0	0	0
DPRXP7	0	0	0
DPT	0	0	0
DPY19L1	6.2858	4.8805	4.761
DPY19L1P1	0.3045	1.1074	0.0337
DPY19L1P2	0	0.111	0
DPY19L2	0	1.1521	1.9082
DPY19L2P1	0	2.3232	0.8503
DPY19L2P2	0.6022	1.6883	2.8997
DPY19L2P4	0	0.5404	1.2879
