Probe	CCL_A	CCL_B	CCL_C
cg07634204	0.0533	0.049	0.0797
cg07636178	0.8546	0.0255	0.042
cg07637239	0.0523	0.6534	0.1216
cg07638871	0.1229	0.1572	0.1891
cg07638935	0.0914	0.1042	0.3646
cg07638938	0.4262	0.4082	0.3297
cg07639720	0.1476	0.0233	0.0344
cg07639959	0.0356	0.0445	0.0416
cg07640820	0.0456	0.442	0.0415
cg07641524	0.5367	0.1572	0.1351
cg07642638	0.7638	0.7308	0.111
cg07644368	0.6971	0.3979	0.6332
cg07651242	0.744	0.4793	0.1918
cg07651857	0.0549	0.04	0.0529
cg07651914	0.8731	0.866	0.8208
cg07652213	0.0092	0.0202	0.0128
cg07654843	0.099	0.9329	0.2806
cg07654896	0.5993	0.9507	0.8317
cg07654934	0.036	0.9276	0.9339
cg07655627	0.5281	0.3113	0.0396
cg07656304	0.1656	0.1155	0.0588
cg07656362	0.0328	0.04	0.0472
cg07656391	0.0855	0.058	0.1285
cg07657236	0.7114	0.8882	0.0742
cg07657776	0.9171	0.9236	0.7138
cg07658590	0.5502	0.9391	0.7154
cg07658718	0.0857	0.0485	0.0871
cg07660236	0.7569	0.1026	0.8724
cg07663789	0.4048	0.2178	0.2153
cg07664856	0.036	0.5942	0.2106
cg07665060	0.0497	0.0535	0.5879
cg07666065	0.0432	0.4338	0.0471
cg07667595	0.0548	0.06	0.0854
cg07668036	0.0428	0.0282	0.0532
cg07671603	0.0029	0.005	0.0103
cg07671976	0.0567	0.3042	0.5426
cg07672479	0.0101	0.0097	0
cg07674153	0.0592	0.066	0.0772
cg07675169	0.2897	0.8238	0.5418
cg07675682	0.4099	0.8901	0.7971
cg07677850	0.7464	0.9334	0.9163
cg07678643	0.0528	0.087	0.0782
cg07679836	0.4039	0.427	0.1305
cg07681084	0	0.0044	8e-04
cg07684150	0.0437	0.0476	0.0662
cg07684353	0.0969	0.0864	0.1223
cg07684796	0.8662	0.0469	0.0659
cg07684809	0.7091	0.0666	0.0727
cg07685034	0.0472	0.6963	0.2078
cg07685221	0.0392	0.0447	0.0634
cg07685869	0.0767	0.06	0.0328
cg07686479	0.1422	0.8935	0.2873
cg07688613	0.0909	0.0561	0.1065
cg07688933	0.0967	0.071	0.1016
cg07689821	0.0724	0.2117	0.0829
cg07690018	0.0496	0.0562	0.8414
cg07693270	0.5588	0.0754	0.1991
cg07694025	0.1042	0.9248	0.833
cg07695590	0.0333	0.042	0.0452
cg07696033	0.2645	0.9888	1
cg07697078	0.042	0.0541	0.0544
cg07697569	0.033	0.0329	0.0491
cg07699440	0.0439	0.0352	0.0524
cg07703401	0.9641	0.9704	0.7559
cg07704144	0.2375	0.102	0.085
cg07705835	0.2132	0.1828	0.2057
cg07705908	0.0738	0.9007	0.6781
cg07706067	0.0351	0.0319	0.0582
cg07706362	0.2359	0.4667	0.0439
cg07707227	0.08	0.0987	0.1133
cg07707498	0.0842	0.1293	0.0605
cg07708788	0.1751	0.1212	0.4516
cg07710481	0.8668	0.939	0.0805
cg07711097	0.0896	0.7596	0.1705
cg07713361	0.0606	0.0772	0.407
cg07714534	0.0334	0.0292	0.0359
cg07715201	0.4772	0.8204	0.0752
cg07715387	0.0584	0.0608	0.0871
cg07715894	0.0639	0.0333	0.0772
cg07717632	0.0317	0.9297	0.9398
cg07719512	0.2432	0.8709	0.5043
cg07719737	0.0364	0.0306	0.041
cg07728874	0.5425	0.8954	0.725
cg07730301	0.0728	0.3257	0.1245
cg07731916	0.0323	0.0467	0.0258
cg07732037	0.9369	0.93	0.939
cg07732644	0.4947	0.9609	0.8214
cg07733031	0.0503	0.051	0.0572
cg07736705	0.1033	0.0697	0.1234
cg07737781	0.0827	0.1086	0.1566
cg07739803	0.0513	0.0535	0.0554
cg07740640	0.8466	0.8202	0.8398
cg07740989	0.0577	0.061	0.0805
cg07744166	0.873	0.0233	0.0367
cg07745434	0.1121	0.425	0.0982
cg07746918	0.0538	0.0506	0.0801
cg07747970	0.4106	0.0368	0.0523
cg07748017	0.0721	0.0528	0.0903
cg07748540	0.913	0.9488	0.0562
cg07749074	0.2898	0.8933	0.3761
cg07749808	0.0396	0.0599	0.0772
cg07750111	0.0591	0.6694	0.0521
cg07753583	0.4703	0.0439	0.7986
cg07753644	0.6493	0.7508	0.7703
cg07755653	0.1023	0.0644	0.09
cg07757386	0.0504	0.0783	0.0752
cg07758574	0.9097	0.9162	0.0383
cg07758904	0.767	0.8914	0.8402
cg07759587	0.9137	0.9332	0.9441
cg07761912	0.0624	0.0817	0.066
cg07763768	0.8733	0.8619	0.7903
cg07764959	0.0312	0.3274	0.0468
cg07766612	0.4735	0.9713	0.6122
cg07770222	0.4236	0.3505	0.0582
cg07772309	0.0041	0.006	0.0122
cg07773116	0.4561	0.9111	0.1009
cg07773642	0.0457	0.037	0.077
cg07774025	0.0607	0.3733	0.0754
cg07774222	0.0276	0.0276	0.0132
cg07775501	0.0648	0.0624	0.1081
cg07775675	0.1455	0.1454	0.0862
cg07777378	0.0605	0.0482	0.0464
cg07778080	0.0439	0.0375	0.0685
cg07780118	0.2473	0.8911	0.2527
cg07780979	0.5425	0.8	0.7729
cg07782113	0.0549	0.0548	0.0893
cg07785936	0.0925	0.1443	0.7767
cg07786760	0.226	0.0727	0.0947
cg07789083	0.0501	0.0461	0.3005
cg07789552	0.0748	0.0853	0.1321
cg07790638	0.9285	0.9544	0.9649
cg07791997	0.0489	0.1113	0.1089
cg07799947	0.0676	0.0764	0.0483
cg07800320	0.3849	0.0523	0.3724
cg07803864	0.7892	0.85	0.928
cg07804122	0.0678	0.0795	0.1203
cg07805833	0.9236	0.9398	0.9214
cg07806164	0.5487	0.1071	0.154
cg07807709	0.0539	0.0463	0.0685
cg07808960	0.04	0.0363	0.0556
cg07810967	0.8148	0.9331	0.8918
cg07811498	0.0683	0.4099	0.2335
cg07811750	0.0158	0.0952	0.017
cg07815386	0.0534	0.0561	0.071
cg07816074	0.6458	0.149	0.5457
cg07816439	0.3808	0.778	0.3665
cg07816442	0.0774	0.0697	0.0855
cg07817698	0.0336	0.0356	0.0557
cg07817783	0.1545	0.2119	0.129
cg07818646	0	0.0119	0
cg07819926	0.0208	0.0141	0.074
cg07820214	0.0275	0.0302	0.0593
cg07823492	0.1611	0.9705	0.6862
cg07823755	0.7782	0.9128	0.8936
cg07823935	0.1028	0.0977	0.1266
cg07824317	0.0361	0.0635	0.0697
cg07824742	0.0837	0.9454	0.0171
cg07827038	0.0809	0.0591	0.102
cg07830847	0.3234	0.9115	0.4203
cg07832674	0.932	0.9182	0.8886
cg07833035	0.0357	0.0342	0.0341
cg07833382	0.0779	0.0543	0.0366
cg07836370	0.0742	0.1568	0.0571
cg07837262	0.0342	0.0475	0.0385
cg07841014	0.0794	0.8048	0.0823
cg07842062	0.0589	0.6865	0.6253
cg07842593	0.0533	0.0478	0.0449
cg07843027	0.0178	0.0192	0.035
cg07844021	0.0612	0.0552	0.0222
cg07844572	0.0683	0.0969	0.0807
cg07845390	0.6232	0.8032	0.0591
cg07845392	0.6837	0.9172	0.5798
cg07846220	0.8817	0.9676	0.2886
cg07847428	0.0061	0.0208	0.0195
cg07849904	0.3597	0.0627	0.159
cg07850221	0.8687	0.8824	0.8569
cg07850604	0.9087	0.1023	0.0799
cg07851192	0.5652	0.9259	0.3636
cg07851243	0.0668	0.0444	0.0587
cg07851278	0.0714	0.0595	0.0876
cg07854244	0.0703	0.0341	0.0809
cg07855056	0.0275	0.0327	0.0288
cg07857181	0.0718	0.0557	0.0964
cg07858745	0.081	0.0631	0.0814
cg07861564	0.4938	0.8042	0.077
cg07862358	0.0503	0.0449	0.0684
cg07864189	0.0765	0.0616	0.0844
cg07864297	0.0237	0.8858	0.3662
cg07864632	0.0425	0.0816	0.0448
cg07865790	0.0413	0.0365	0.0488
cg07867360	0.6333	0.9199	0.3768
cg07868688	0.0795	0.0668	0.1062
cg07871503	0.7428	0.9178	0.4991
cg07872652	0.0434	0.7702	0.0188
cg07873128	0.9044	0.9209	0.9129
cg07873488	0.4317	0.4305	0.5609
cg07874155	0.0386	0.0432	0.0301
cg07874284	0.05	0.0443	0.0437
cg07874520	0.8661	0.8056	0.8939
cg07876586	0.1107	0.0764	0.1036
cg07879727	0.0782	0.9112	0.384
cg07879977	0.0503	0.5659	0.0587
cg07880061	0.0187	0.2266	0.0253
cg07880854	0.5754	0.3827	0.9342
cg07882535	0.5129	0.8826	0.6542
cg07882831	0.0271	0.0326	0.1
cg07883333	0.8155	0.8262	0.7784
cg07884474	0.0454	0.0452	0.0645
cg07886712	0.0504	0.2502	0.0685
cg07888040	0.9244	0.9695	0.8589
cg07888234	0.1998	0.7444	0.7671
cg07889201	0.1089	0.1489	0.1204
cg07890954	0.4113	0.8708	0.8047
cg07894162	0.0847	0.1027	0.1346
cg07894717	0.2442	0.9454	0.6697
cg07895149	0.3839	0.0443	0.1811
cg07896225	0.082	0.0904	0.0978
cg07897193	0.0264	0.0376	0.0513
cg07897414	0.0984	0.2917	0.056
cg07897701	0.103	0.8917	0.0584
cg07897837	0.0264	0.0269	0.0444
cg07899016	0.0647	0.9101	0.1023
cg07899425	0.077	0.0514	0.0751
cg07900766	0.8656	0.3182	0.0712
cg07903860	0.0647	0.052	0.0639
cg07903918	0.6078	0.8474	0.5105
cg07906495	0.0594	0.0568	0.1188
cg07908874	0.0978	0.7913	0.8494
cg07909265	0.0259	0.0476	0.0663
cg07909422	0.1084	0.0941	0.0735
cg07909527	0.0473	0.0763	0.0796
cg07911663	0.0741	0.3895	0.5032
cg07911673	0.8119	0.8719	0.863
cg07912181	0.0177	0.034	0.047
cg07914866	0.8698	0.7864	0.919
cg07914959	0.0841	0.0196	0.0104
cg07915343	0.7303	0.864	0.861
cg07915542	0.0366	0.2301	0.0738
cg07917796	0.0737	0.4682	0.1355
cg07919162	0.0806	0.0994	0.0786
cg07922606	0.8504	0.2126	0.8638
cg07924575	0.5221	0.8563	0.7366
cg07924819	0.0629	0.0696	0.0464
cg07925687	0.0439	0.0705	0.0676
cg07927484	0.0578	0.0428	0.0632
cg07928641	0.0561	0.0386	0.0557
cg07928695	0.1309	0.0981	0.0873
cg07929310	0.0491	0.0565	0.0534
cg07930578	0.4513	0.956	0.8456
cg07933199	0.0839	0.0526	0.0658
cg07934026	0.1722	0.199	0.1049
cg07935151	0.0561	0.0544	0.0624
cg07935568	0.6348	0.1222	0.6365
cg07936037	0.0098	0.019	0.0049
cg07940485	0.0078	0.0177	0.0225
cg07940804	0.2215	0.253	0.0732
cg07942995	0.3032	0.5758	0.0734
cg07944287	0.0918	0.0568	0.1295
cg07944811	0.6542	0.9425	0.8494
cg07945480	0.0714	0.0604	0.0989
cg07947016	0.0864	0.5576	0.0416
cg07948245	0.0275	0.0273	0.0327
cg07948472	0.508	0.9648	0.9058
cg07950803	0.1923	0.7698	0.059
cg07952391	0.0707	0.4182	0.0725
cg07955356	0.0248	0.0357	0.036
cg07955828	0.0435	0.0407	0.0498
cg07955887	0.3929	0.9112	0.9126
cg07957491	0.1961	0.3016	0.546
cg07958192	0.961	0.8923	0.9438
cg07959477	0.0794	0.9295	0.569
cg07959896	0.0392	0.0358	0.0272
cg07962043	0.1264	0.1046	0.1632
cg07962051	0.0501	0.0546	0.0443
cg07962315	0.3766	0.2151	0.0796
cg07964133	0.0903	0.1032	0.1
cg07964538	0.2314	0.0207	0.0328
cg07964539	0.0433	0.1185	0.0604
cg07965714	0.0234	0.0362	0.0376
cg07965823	0.7798	0.4991	0.8613
cg07965839	0.044	0.0409	0.0753
cg07967308	0.0981	0.8976	0.4634
cg07967643	0.0475	0.048	0.0734
cg07971188	0.0983	0.117	0.7012
cg07973246	0.0491	0.0342	0.0398
cg07973390	0.0759	0.0678	0.0934
cg07974125	0.0683	0.0813	0.0989
cg07974303	0.0166	0.8807	0.0465
cg07974891	0.1957	0.8047	0.783
cg07975813	0.0485	0.0622	0.0648
cg07977490	0.7498	0.9352	0.9301
cg07979357	0.0788	0.1412	0.2552
cg07979752	0.1876	0.1895	0.1608
cg07980518	0.7762	0.8032	0.8013
cg07980804	0.0817	0.1186	0.1029
cg07981495	0.1723	0.8645	0.2303
cg07981588	0.0687	0.0584	0.0947
cg07985359	0.1093	0.0989	0.087
cg07986525	0.2956	0.0759	0.2753
cg07989514	0.0636	0.0641	0.0647
cg07990489	0.0429	0.0394	0.0592
cg07990939	0.0534	0.0448	0.0653
cg07991621	0.0893	0.0893	0.3904
cg07992625	0.0603	0.034	0.0408
cg07997737	0.2763	0.7612	0.2257
cg08001895	0.967	0.9683	0.0342
cg08002996	0.0621	0.0513	0.0493
cg08003150	0.9349	0.4254	0.0214
cg08003742	0.215	0.0417	0.0718
cg08005849	0.2221	0.9173	0.6751
cg08007665	0.1202	0.8825	0.3931
cg08008403	0.5184	0.4028	0.9152
cg08008562	0.0367	0.0709	0.0454
cg08009622	0.83	0.9406	0.9247
cg08011170	0.0595	0.0351	0.0876
cg08011328	0.0637	0.0582	0.0431
cg08012454	0.0905	0.0931	0.103
cg08013810	0.7927	0.8236	0.6928
cg08015253	0.0917	0.0754	0.1131
cg08015496	0.1288	0.9341	0.3547
cg08016363	0.1605	0.4088	0.1992
cg08016383	0.0709	0.0582	0.0758
cg08017606	0.0895	0.0949	0.1586
cg08020051	0.0357	0.0572	0.0449
cg08020381	0.067	0.0499	0.0457
cg08022502	0.0909	0.232	0.0894
cg08023692	0.8356	0.9314	0.5764
cg08024766	0.0279	0.063	0.0509
cg08025786	0.8626	0.9361	0.8089
cg08026144	0.0497	0.0672	0.0655
cg08027001	0.0595	0.1912	0.0861
cg08027745	0.0256	0.0177	0.0663
cg08030082	0.5641	0.8552	0.8618
cg08032971	0.4078	0.885	0.8245
cg08034216	0.0465	0.0314	0.0801
cg08035082	0.6561	0.8992	0.7022
cg08035942	0.0742	0.073	0.1003
cg08039281	0.0686	0.0673	0.072
cg08040428	0.049	0.0445	0.0755
cg08040471	0.9149	0.9072	0.907
cg08044694	0.1912	0.7299	0.539
cg08045757	0.4568	0.8871	0.8309
cg08046471	0.7636	0.8949	0.7838
cg08047457	0.0441	0.0329	0.7981
cg08047907	0.8318	0.9277	0.0282
cg08048656	0.0509	0.0433	0.0688
cg08049198	0.0526	0.0565	0.0454
cg08052882	0.2939	0.2693	0.0485
cg08056146	0.8375	0.0277	0.4492
cg08056903	0.0524	0.0397	0.063
cg08057475	0.6182	0.966	0.931
cg08063013	0.0447	0.056	0.0882
cg08063724	0.1833	0.1288	0.0741
cg08064891	0.1351	0.2237	0.1501
cg08067268	0.0753	0.2301	0.074
cg08067365	0.051	0.0297	0.082
cg08069899	0.0917	0.0507	0.1117
cg08072716	0.4771	0.2767	0.7968
cg08074477	0.0558	0.0488	0.6529
cg08076508	0.0733	0.0574	0.078
cg08077673	0.1965	0.0468	0.7863
cg08079693	0.0493	0.0425	0.0713
cg08080029	0.4452	0.057	0.6066
cg08081036	0.1285	0.1112	0.134
cg08081407	0.2849	0.2739	0.2305
cg08082692	0.853	0.9558	0.8209
cg08083689	0.059	0.0655	0.0634
cg08084415	0.0768	0.0777	0.1127
cg08085165	0.9502	0.9511	0.9529
cg08085267	0.4994	0.6546	0.0193
cg08088390	0.0418	0.6232	0.0437
cg08088989	0.1218	0.8769	0.101
cg08089301	0.1295	0.0228	0.0284
cg08090396	0.0247	0.0141	0.0112
cg08090772	0.923	0.7507	0.2097
cg08093211	0.0282	0.0493	0.0298
cg08093278	0.0375	0.0471	0.0672
cg08095532	0.8773	0.93	0.8787
cg08096010	0.6018	0.9031	0.8589
cg08096038	0.8358	0.8321	0.7565
cg08096946	0.0955	0.0596	0.1482
cg08097657	0.921	0.9251	0.9137
cg08097755	0.1235	0.1487	0.08
cg08097882	0.8412	0.0803	0.3657
cg08099701	0.3126	0.8503	0.4165
cg08101172	0.0027	0.0279	0.0053
cg08101264	0.7785	0.8482	0.5153
cg08102619	0.0623	0.0566	0.0839
cg08103676	0.0534	0.058	0.0538
cg08107767	0.0066	0.0036	0.0404
cg08108311	0.3587	0.8902	0.0468
cg08108641	0.3919	0.9539	0.9123
cg08109646	0.1093	0.3351	0.3093
cg08109815	0.7956	0.8822	0.698
cg08110559	0.0709	0.047	0.0702
cg08113913	0.1926	0.1825	0.2732
cg08115510	0.0383	0.0299	0.0358
cg08116137	0.0914	0.8546	0.3871
cg08120190	0.0409	0.041	0.0382
cg08121954	0.7575	0.9533	0.9221
cg08122545	0.2142	0.0199	0.1716
cg08123074	0	0.0323	5e-04
cg08124030	0.3566	0.0333	0.0384
cg08124399	0.4595	0.5356	0.8937
cg08124722	0.2952	0.8738	0.1421
cg08126211	0.47	0.9063	0.5844
cg08128768	0.3989	0.0431	0.0733
cg08132711	0.5227	0.6835	0.0176
cg08132767	0.0343	0.0292	0.0364
cg08132931	0.1047	0.3642	0.0595
cg08136806	0.0582	0.1975	0.3241
cg08136893	0.0458	0.0288	0.0592
cg08137040	0.1242	0.3225	0.5922
cg08137716	0.9327	0.9675	0.8834
cg08139833	0.0254	0.0123	0.0382
cg08141806	0.0572	0.1027	0.0555
cg08141989	0.4873	0.8617	0.6713
cg08142684	0.0324	0.0555	0.024
cg08145177	0.5685	0.8612	0.3769
cg08145590	0.848	0.9276	0.7289
cg08145625	0.7463	0.9403	0.1419
cg08146221	0.0848	0.1471	0.0973
cg08147886	0.0373	0.0402	0.0332
cg08149333	0.052	0.0368	0.0803
cg08151281	0.0935	0.072	0.1074
cg08151470	0.3882	0.4726	0.648
cg08156349	0.0077	0.0188	0.0167
cg08157579	0.0635	0.0429	0.1576
cg08157638	0.9101	0.9142	0.9638
cg08158331	0.0705	0.0597	0.1248
cg08158570	0.0636	0.0509	0.0608
cg08159444	0.0706	0.6893	0.0989
cg08162572	0.0469	0.0382	0.0595
cg08162780	0.0547	0.4929	0.2478
cg08163803	0.0358	0.0639	0.0302
cg08164315	0.0121	0.0131	0.017
cg08164900	0.0052	0.0196	0.0204
cg08166982	0.0292	0.0372	0.0537
cg08169325	0.7888	0.5013	0.2269
cg08170622	0.026	0.0607	0.0462
cg08172935	0.0133	0.0204	0.0602
cg08173535	0.051	0.0303	0.0382
cg08174003	0.1448	0.6986	0.1226
cg08176609	0.0535	0.0601	0.1027
cg08176694	0.8169	0.9161	0.8755
cg08177017	0.0437	0.0511	0.0708
cg08179530	0	0.0096	0.0098
cg08179907	0.4902	0.0904	0.138
cg08183114	0.0409	0.0904	0.0522
cg08185241	0.9422	0.984	0.5761
cg08185661	0.4352	0.7688	0.3077
cg08186124	0.0283	0.033	0.049
cg08186362	0.4993	0.9265	0.5489
cg08190044	0.4557	0.0786	0.0522
cg08190291	0.7697	0.5828	0.0776
cg08191915	0.0793	0.7769	0.4132
cg08195505	0.0249	0.0346	0.0619
cg08197201	0.0593	0.0608	0.0399
cg08198102	0.083	0.1002	0.0392
cg08198370	0.0471	0.058	0.0945
cg08198480	0.0458	0.0728	0.0388
cg08201421	0.4283	0.8622	0.7163
cg08205655	0.0397	0.0192	0.0438
cg08205865	0.2249	0.7118	0.3711
cg08207256	0.1963	0.1561	0.1494
cg08209133	0.5053	0.1077	0.6107
cg08209724	0.0588	0.058	0.0619
cg08211091	0.6601	0.4608	0.4398
cg08211967	0.0589	0.0596	0.1013
cg08214029	0.0428	0.156	0.0343
cg08214328	0.0569	0.0429	0.058
cg08214957	0.3731	0.8196	0.2535
cg08216792	0.0216	0.0254	0.0253
cg08220793	0.0558	0.0475	0.0721
cg08221207	0.323	0.8882	0.497
cg08222185	0.0424	0.0725	0.0849
cg08222514	0.1048	0.1459	0.1222
cg08222662	0.2007	0.0435	0.0862
cg08223235	0.1779	0.9198	0.9154
cg08223748	0.732	0.0677	0.0482
cg08228917	0.7044	0.0668	0.0726
cg08229627	0.0625	0.0397	0.0599
cg08229694	0.0164	0.0082	0.0288
cg08233088	0.0785	0.0353	0.0377
cg08233173	0.0605	0.0497	0.0822
cg08241785	0.4276	0.0523	0.1713
cg08242020	0.0465	0.052	0.0565
cg08242493	0.0247	0.0357	0.0447
cg08244028	0.0813	0.7428	0.1771
cg08244522	0.2159	0.0614	0.1553
cg08245487	0.885	0.8128	0.9006
cg08245789	0.4501	0.914	0.8737
cg08247612	0.2002	0.9011	0.8596
cg08248532	0.0636	0.0373	0.0506
cg08250444	0.0456	0.0333	0.0732
cg08251036	0.9463	0.9691	0.9519
cg08251399	0.4485	0.911	0.4465
cg08253405	0.5286	0.8636	0.7587
cg08256260	0.0649	0.0487	0.0913
cg08256691	0.8149	0.9292	0.7857
cg08256781	0.3442	0.9282	0.6162
cg08258650	0.0545	0.8017	0.2614
cg08259617	0.056	0.0371	0.0744
cg08260891	0.7291	0.9364	0.8149
cg08260959	0.9389	0.0616	0.1157
cg08261094	0.5853	0.8645	0.2713
cg08261177	0.0322	0.026	0.0481
cg08261666	0.0381	0.0379	0.0384
cg08261841	0.077	0.976	0.9312
cg08262933	0.0218	0.026	0.0289
cg08263647	0.0589	0.9091	0.9218
cg08265265	0.0066	0.0382	0.0163
cg08268266	0.0081	0.0149	0.0061
cg08269321	0.324	0.0833	0.1537
cg08270477	0.0617	0.0541	0.0678
cg08271519	0.0741	0.0748	0.0924
cg08274234	0.6777	0.5203	0.0545
cg08278554	0.0607	0.3144	0.1772
cg08283293	0.0436	0.0586	0.0625
cg08284151	0.2032	0.5922	0.2728
cg08284180	0.0483	0.0401	0.0618
cg08284598	0.5992	0.802	0.7879
cg08286169	0.0698	0.0551	0.1115
cg08287471	0.0057	0.0159	0.0041
cg08289932	0.086	0.0664	0.0686
cg08290212	0.0026	0.0164	0.0153
cg08291000	0.4012	0.3644	0.9132
cg08291098	0.0545	0.0302	0.5429
cg08291539	0.0085	0.0134	0.0124
cg08292112	0.0105	0.0119	0.0236
cg08293367	0.0405	0.0543	0.0754
cg08293760	0.053	0.0536	0.0677
cg08296824	0.0855	0.0844	0.091
cg08299045	0.073	0.0527	0.0889
cg08300622	0.0462	0.0682	0.1935
cg08300860	0.427	0.6564	0.5087
cg08301503	0.3349	0.9214	0.8815
cg08302713	0.101	0.0987	0.1294
cg08303146	0.0032	0.1252	0.4799
cg08304608	0.6723	0.8218	0.8106
cg08305742	0.0227	0.0417	0.0293
cg08307039	0.0724	0.0786	0.049
cg08307092	0.0449	0.6682	0.0387
cg08307816	0.0552	0.2762	0.4498
cg08307963	0.2247	0.7611	0.4293
cg08308286	0.0117	0.0133	0.0184
cg08308510	0.63	0.9466	0.8826
cg08312191	0.0451	0.0448	0.0583
cg08313788	0.0405	0.0536	0.0781
cg08314660	0.0482	0.0419	0.3225
cg08315187	0.0357	0.0238	0.0422
cg08315277	0.5466	0.6626	0.761
cg08315770	0.6844	0.8952	0.7241
cg08317263	0.7076	0.608	0.6023
cg08319238	0.1027	0.0633	0.1705
cg08319991	0.7476	0.0664	0.5487
cg08321272	0.0415	0.04	0.0616
cg08321330	0.3313	0.8701	0.2576
cg08324796	0.0147	0.1218	0.0267
cg08328671	0.2167	0.0185	0.1193
cg08331313	0.7311	0.0428	0.0476
cg08331840	0.8686	0.9294	0.049
cg08332212	0.1798	0.9561	0.6262
cg08332868	0.0397	0.031	0.0561
cg08335125	0.7669	0.9075	0.8747
cg08338368	0.8147	0.9374	0.8756
cg08339208	0.0162	0.0308	0.043
cg08341874	0.7582	0.9243	0.7445
cg08341924	0.4313	0.9181	0.5447
cg08341978	0.034	0.0298	0.0405
cg08342270	0.0547	0.0391	0.0872
cg08343943	0.0993	0.0972	0.0638
cg08346269	0.0587	0.0609	0.0811
cg08347423	0.0353	0.034	0.0561
cg08348496	0.0163	0.029	0.0109
cg08348900	0.1903	0.3644	0.1032
cg08348962	0.1703	0.2231	0.1228
cg08349573	0.4986	0.4997	0.7456
cg08350173	0.0459	0.036	0.052
cg08351105	0.0394	0.0285	0.0362
cg08351143	0.0278	0.042	0.0672
cg08353062	0.0394	0.0377	0.051
cg08353146	0.2901	0.0881	0.0671
cg08355944	0.0521	0.0411	0.0501
cg08358671	0.065	0.049	0.0597
cg08359956	0.2057	0.8081	0.1635
cg08360728	0.0509	0.0534	0.0671
cg08361238	0.2997	0.3728	0.3428
cg08365982	0.4082	0.8977	0.8777
cg08366126	0.0901	0.092	0.5092
cg08367026	0.0661	0.0556	0.0609
cg08367223	0.0747	0.9165	0.6294
cg08367703	0.0646	0.0655	0.0663
cg08367838	0.0421	0.0526	0.0501
cg08368934	0.6142	0.8852	0.821
cg08370996	0.0617	0.0589	0.0612
cg08374799	0.0527	0.701	0.6596
cg08376864	0.035	0.0736	0.1992
cg08377000	0.9248	0.9432	0.9719
cg08383063	0.0741	0.0543	0.0951
cg08383315	0.3242	0.8163	0.249
cg08385610	0.3875	0.9568	0.9189
cg08390021	0.2525	0.0523	0.0834
cg08390209	0.9145	0.9424	0.2088
cg08392591	0.0756	0.0593	0.0639
cg08393541	0.0489	0.0364	0.0497
cg08395365	0.0868	0.0735	0.0908
cg08395706	0.0456	0.0268	0.0424
cg08395899	0.0708	0.0665	0.0971
cg08398233	0.0707	0.0517	0.0969
cg08399444	0.9013	0.9502	0.9011
cg08400019	0.0236	0.0305	0.0271
cg08400120	0.0601	0.0535	0.0508
cg08402568	0.674	0.837	0.7318
cg08403419	0.0556	0.5666	0.4364
cg08404225	0.0585	0.5932	0.0852
cg08404227	0.289	0.046	0.0865
cg08408988	0.0448	0.0431	0.0868
cg08411049	0.0629	0.0612	0.8556
cg08411435	0.0607	0.5144	0.2631
cg08412305	0.0308	0.03	0.0354
cg08413153	0.0465	0.0475	0.0325
cg08413366	0.0403	0.0561	0.0312
cg08413469	0.0493	0.048	0.0714
cg08416046	0.7788	0.0569	0.2096
cg08417687	0.0225	0.0302	0.0589
cg08418111	0.611	0.8589	0.2552
cg08418747	0.051	0.0659	0.1174
cg08418978	0.1293	0.8838	0.4009
cg08419026	0.5979	0.4681	0.0686
cg08420085	0	0.012	0.0063
cg08422599	0.7671	0.8514	0.3709
cg08424423	0.599	0.9178	0.8295
cg08424427	0.0603	0.0647	0.1352
cg08426384	0.032	0.0398	0.0576
cg08427977	0.2153	0.8846	0.2097
cg08428707	0.0347	0.0345	0.044
cg08430598	0.2519	0.8332	0.1009
cg08432727	0.5137	0.9136	0.0805
cg08433095	0.8531	0.9457	0.7722
cg08433538	0.5258	0.5755	0.0792
cg08434152	0.047	0.0346	0.0607
cg08434234	0.8691	0.9823	0.9188
cg08434396	0.0468	0.0369	0.0599
cg08434547	0.074	0.1565	0.1252
cg08439468	0.0721	0.06	0.1124
cg08440125	0.0785	0.0725	0.102
cg08441170	0.4819	0.9881	0.3279
cg08441546	0.4276	0.2305	0.1315
cg08441806	0.9777	0.9759	0.8964
cg08443351	0.0449	0.0598	0.0618
cg08445039	0.0566	0.0613	0.064
cg08446111	0.1619	0.8459	0.4062
cg08448040	0.1006	0.0721	0.0978
cg08448751	0.6307	0.9024	0.1951
cg08450982	0.6095	0.5192	0.143
cg08451957	0.6886	0.7151	0.6244
cg08452348	0.8795	0.8127	0.8282
cg08453021	0.7566	0.8571	0.0837
cg08453096	0.3403	0.846	0.5162
cg08453968	0.0775	0.073	0.1064
cg08455548	0.267	0.807	0.1196
cg08458170	0.1223	0.5758	0.1202
cg08460026	0.1165	0.9307	0.1021
cg08460435	0.0331	0.0424	0.3583
cg08461397	0.0507	0.0918	0.0741
cg08462292	0.041	0.0515	0.0372
cg08463061	0.0308	0.037	0.0321
cg08463485	0.5577	0.3555	0.3457
cg08465510	0.0377	0.0476	0.0552
cg08465862	0.0528	0.1112	0.7512
cg08466074	0	0.0527	0.0281
cg08466883	0.0414	0.0548	0.0649
cg08468689	0.0382	0.0503	0.0528
cg08469834	0.0718	0.0433	0.0353
cg08471713	0.6587	0.8329	0.9168
